Cancer_Group_Site,Year,Sex,State_Territory,Count
Melanoma of the skin,1982.0,Males,New South Wales,650.0
Melanoma of the skin,1982.0,Males,Victoria,279.0
Melanoma of the skin,1982.0,Males,Queensland,474.0
Melanoma of the skin,1982.0,Males,Western Australia,164.0
Melanoma of the skin,1982.0,Males,South Australia,121.0
Melanoma of the skin,1982.0,Males,Tasmania,30.0
Melanoma of the skin,1982.0,Males,Australian Capital Territory,
Melanoma of the skin,1982.0,Males,Northern Territory,
Melanoma of the skin,1982.0,Males,Australia,1738.0
Melanoma of the skin,1982.0,Females,New South Wales,651.0
Melanoma of the skin,1982.0,Females,Victoria,365.0
Melanoma of the skin,1982.0,Females,Queensland,427.0
Melanoma of the skin,1982.0,Females,Western Australia,173.0
Melanoma of the skin,1982.0,Females,South Australia,127.0
Melanoma of the skin,1982.0,Females,Tasmania,38.0
Melanoma of the skin,1982.0,Females,Australian Capital Territory,
Melanoma of the skin,1982.0,Females,Northern Territory,
Melanoma of the skin,1982.0,Females,Australia,1802.0
Melanoma of the skin,1982.0,Persons,New South Wales,1301.0
Melanoma of the skin,1982.0,Persons,Victoria,644.0
Melanoma of the skin,1982.0,Persons,Queensland,901.0
Melanoma of the skin,1982.0,Persons,Western Australia,337.0
Melanoma of the skin,1982.0,Persons,South Australia,248.0
Melanoma of the skin,1982.0,Persons,Tasmania,68.0
Melanoma of the skin,1982.0,Persons,Australian Capital Territory,
Melanoma of the skin,1982.0,Persons,Northern Territory,
Melanoma of the skin,1982.0,Persons,Australia,3540.0
Melanoma of the skin,1983.0,Males,New South Wales,692.0
Melanoma of the skin,1983.0,Males,Victoria,319.0
Melanoma of the skin,1983.0,Males,Queensland,455.0
Melanoma of the skin,1983.0,Males,Western Australia,165.0
Melanoma of the skin,1983.0,Males,South Australia,120.0
Melanoma of the skin,1983.0,Males,Tasmania,31.0
Melanoma of the skin,1983.0,Males,Australian Capital Territory,
Melanoma of the skin,1983.0,Males,Northern Territory,
Melanoma of the skin,1983.0,Males,Australia,1818.0
Melanoma of the skin,1983.0,Females,New South Wales,730.0
Melanoma of the skin,1983.0,Females,Victoria,402.0
Melanoma of the skin,1983.0,Females,Queensland,462.0
Melanoma of the skin,1983.0,Females,Western Australia,165.0
Melanoma of the skin,1983.0,Females,South Australia,148.0
Melanoma of the skin,1983.0,Females,Tasmania,45.0
Melanoma of the skin,1983.0,Females,Australian Capital Territory,
Melanoma of the skin,1983.0,Females,Northern Territory,
Melanoma of the skin,1983.0,Females,Australia,1980.0
Melanoma of the skin,1983.0,Persons,New South Wales,1422.0
Melanoma of the skin,1983.0,Persons,Victoria,721.0
Melanoma of the skin,1983.0,Persons,Queensland,917.0
Melanoma of the skin,1983.0,Persons,Western Australia,330.0
Melanoma of the skin,1983.0,Persons,South Australia,268.0
Melanoma of the skin,1983.0,Persons,Tasmania,76.0
Melanoma of the skin,1983.0,Persons,Australian Capital Territory,
Melanoma of the skin,1983.0,Persons,Northern Territory,
Melanoma of the skin,1983.0,Persons,Australia,3798.0
Melanoma of the skin,1984.0,Males,New South Wales,761.0
Melanoma of the skin,1984.0,Males,Victoria,331.0
Melanoma of the skin,1984.0,Males,Queensland,536.0
Melanoma of the skin,1984.0,Males,Western Australia,173.0
Melanoma of the skin,1984.0,Males,South Australia,123.0
Melanoma of the skin,1984.0,Males,Tasmania,31.0
Melanoma of the skin,1984.0,Males,Australian Capital Territory,
Melanoma of the skin,1984.0,Males,Northern Territory,
Melanoma of the skin,1984.0,Males,Australia,1993.0
Melanoma of the skin,1984.0,Females,New South Wales,738.0
Melanoma of the skin,1984.0,Females,Victoria,414.0
Melanoma of the skin,1984.0,Females,Queensland,504.0
Melanoma of the skin,1984.0,Females,Western Australia,173.0
Melanoma of the skin,1984.0,Females,South Australia,159.0
Melanoma of the skin,1984.0,Females,Tasmania,35.0
Melanoma of the skin,1984.0,Females,Australian Capital Territory,
Melanoma of the skin,1984.0,Females,Northern Territory,
Melanoma of the skin,1984.0,Females,Australia,2048.0
Melanoma of the skin,1984.0,Persons,New South Wales,1499.0
Melanoma of the skin,1984.0,Persons,Victoria,745.0
Melanoma of the skin,1984.0,Persons,Queensland,1040.0
Melanoma of the skin,1984.0,Persons,Western Australia,346.0
Melanoma of the skin,1984.0,Persons,South Australia,282.0
Melanoma of the skin,1984.0,Persons,Tasmania,66.0
Melanoma of the skin,1984.0,Persons,Australian Capital Territory,
Melanoma of the skin,1984.0,Persons,Northern Territory,
Melanoma of the skin,1984.0,Persons,Australia,4041.0
Melanoma of the skin,1985.0,Males,New South Wales,830.0
Melanoma of the skin,1985.0,Males,Victoria,396.0
Melanoma of the skin,1985.0,Males,Queensland,545.0
Melanoma of the skin,1985.0,Males,Western Australia,212.0
Melanoma of the skin,1985.0,Males,South Australia,165.0
Melanoma of the skin,1985.0,Males,Tasmania,31.0
Melanoma of the skin,1985.0,Males,Australian Capital Territory,
Melanoma of the skin,1985.0,Males,Northern Territory,
Melanoma of the skin,1985.0,Males,Australia,2221.0
Melanoma of the skin,1985.0,Females,New South Wales,780.0
Melanoma of the skin,1985.0,Females,Victoria,472.0
Melanoma of the skin,1985.0,Females,Queensland,541.0
Melanoma of the skin,1985.0,Females,Western Australia,208.0
Melanoma of the skin,1985.0,Females,South Australia,197.0
Melanoma of the skin,1985.0,Females,Tasmania,49.0
Melanoma of the skin,1985.0,Females,Australian Capital Territory,
Melanoma of the skin,1985.0,Females,Northern Territory,
Melanoma of the skin,1985.0,Females,Australia,2288.0
Melanoma of the skin,1985.0,Persons,New South Wales,1610.0
Melanoma of the skin,1985.0,Persons,Victoria,868.0
Melanoma of the skin,1985.0,Persons,Queensland,1086.0
Melanoma of the skin,1985.0,Persons,Western Australia,420.0
Melanoma of the skin,1985.0,Persons,South Australia,362.0
Melanoma of the skin,1985.0,Persons,Tasmania,80.0
Melanoma of the skin,1985.0,Persons,Australian Capital Territory,
Melanoma of the skin,1985.0,Persons,Northern Territory,
Melanoma of the skin,1985.0,Persons,Australia,4509.0
Melanoma of the skin,1986.0,Males,New South Wales,915.0
Melanoma of the skin,1986.0,Males,Victoria,377.0
Melanoma of the skin,1986.0,Males,Queensland,640.0
Melanoma of the skin,1986.0,Males,Western Australia,226.0
Melanoma of the skin,1986.0,Males,South Australia,168.0
Melanoma of the skin,1986.0,Males,Tasmania,33.0
Melanoma of the skin,1986.0,Males,Australian Capital Territory,30.0
Melanoma of the skin,1986.0,Males,Northern Territory,6.0
Melanoma of the skin,1986.0,Males,Australia,2406.0
Melanoma of the skin,1986.0,Females,New South Wales,787.0
Melanoma of the skin,1986.0,Females,Victoria,453.0
Melanoma of the skin,1986.0,Females,Queensland,598.0
Melanoma of the skin,1986.0,Females,Western Australia,184.0
Melanoma of the skin,1986.0,Females,South Australia,188.0
Melanoma of the skin,1986.0,Females,Tasmania,54.0
Melanoma of the skin,1986.0,Females,Australian Capital Territory,27.0
Melanoma of the skin,1986.0,Females,Northern Territory,5.0
Melanoma of the skin,1986.0,Females,Australia,2306.0
Melanoma of the skin,1986.0,Persons,New South Wales,1702.0
Melanoma of the skin,1986.0,Persons,Victoria,830.0
Melanoma of the skin,1986.0,Persons,Queensland,1238.0
Melanoma of the skin,1986.0,Persons,Western Australia,410.0
Melanoma of the skin,1986.0,Persons,South Australia,356.0
Melanoma of the skin,1986.0,Persons,Tasmania,87.0
Melanoma of the skin,1986.0,Persons,Australian Capital Territory,57.0
Melanoma of the skin,1986.0,Persons,Northern Territory,11.0
Melanoma of the skin,1986.0,Persons,Australia,4712.0
Melanoma of the skin,1987.0,Males,New South Wales,1104.0
Melanoma of the skin,1987.0,Males,Victoria,481.0
Melanoma of the skin,1987.0,Males,Queensland,740.0
Melanoma of the skin,1987.0,Males,Western Australia,265.0
Melanoma of the skin,1987.0,Males,South Australia,185.0
Melanoma of the skin,1987.0,Males,Tasmania,43.0
Melanoma of the skin,1987.0,Males,Australian Capital Territory,36.0
Melanoma of the skin,1987.0,Males,Northern Territory,8.0
Melanoma of the skin,1987.0,Males,Australia,2874.0
Melanoma of the skin,1987.0,Females,New South Wales,1005.0
Melanoma of the skin,1987.0,Females,Victoria,517.0
Melanoma of the skin,1987.0,Females,Queensland,627.0
Melanoma of the skin,1987.0,Females,Western Australia,213.0
Melanoma of the skin,1987.0,Females,South Australia,200.0
Melanoma of the skin,1987.0,Females,Tasmania,68.0
Melanoma of the skin,1987.0,Females,Australian Capital Territory,33.0
Melanoma of the skin,1987.0,Females,Northern Territory,5.0
Melanoma of the skin,1987.0,Females,Australia,2683.0
Melanoma of the skin,1987.0,Persons,New South Wales,2109.0
Melanoma of the skin,1987.0,Persons,Victoria,998.0
Melanoma of the skin,1987.0,Persons,Queensland,1367.0
Melanoma of the skin,1987.0,Persons,Western Australia,478.0
Melanoma of the skin,1987.0,Persons,South Australia,385.0
Melanoma of the skin,1987.0,Persons,Tasmania,111.0
Melanoma of the skin,1987.0,Persons,Australian Capital Territory,69.0
Melanoma of the skin,1987.0,Persons,Northern Territory,13.0
Melanoma of the skin,1987.0,Persons,Australia,5557.0
Melanoma of the skin,1988.0,Males,New South Wales,1226.0
Melanoma of the skin,1988.0,Males,Victoria,562.0
Melanoma of the skin,1988.0,Males,Queensland,753.0
Melanoma of the skin,1988.0,Males,Western Australia,297.0
Melanoma of the skin,1988.0,Males,South Australia,231.0
Melanoma of the skin,1988.0,Males,Tasmania,62.0
Melanoma of the skin,1988.0,Males,Australian Capital Territory,40.0
Melanoma of the skin,1988.0,Males,Northern Territory,10.0
Melanoma of the skin,1988.0,Males,Australia,3198.0
Melanoma of the skin,1988.0,Females,New South Wales,1042.0
Melanoma of the skin,1988.0,Females,Victoria,564.0
Melanoma of the skin,1988.0,Females,Queensland,614.0
Melanoma of the skin,1988.0,Females,Western Australia,250.0
Melanoma of the skin,1988.0,Females,South Australia,227.0
Melanoma of the skin,1988.0,Females,Tasmania,68.0
Melanoma of the skin,1988.0,Females,Australian Capital Territory,35.0
Melanoma of the skin,1988.0,Females,Northern Territory,8.0
Melanoma of the skin,1988.0,Females,Australia,2819.0
Melanoma of the skin,1988.0,Persons,New South Wales,2268.0
Melanoma of the skin,1988.0,Persons,Victoria,1126.0
Melanoma of the skin,1988.0,Persons,Queensland,1367.0
Melanoma of the skin,1988.0,Persons,Western Australia,547.0
Melanoma of the skin,1988.0,Persons,South Australia,458.0
Melanoma of the skin,1988.0,Persons,Tasmania,130.0
Melanoma of the skin,1988.0,Persons,Australian Capital Territory,76.0
Melanoma of the skin,1988.0,Persons,Northern Territory,17.0
Melanoma of the skin,1988.0,Persons,Australia,6017.0
Melanoma of the skin,1989.0,Males,New South Wales,1215.0
Melanoma of the skin,1989.0,Males,Victoria,547.0
Melanoma of the skin,1989.0,Males,Queensland,743.0
Melanoma of the skin,1989.0,Males,Western Australia,261.0
Melanoma of the skin,1989.0,Males,South Australia,236.0
Melanoma of the skin,1989.0,Males,Tasmania,53.0
Melanoma of the skin,1989.0,Males,Australian Capital Territory,41.0
Melanoma of the skin,1989.0,Males,Northern Territory,11.0
Melanoma of the skin,1989.0,Males,Australia,3103.0
Melanoma of the skin,1989.0,Females,New South Wales,892.0
Melanoma of the skin,1989.0,Females,Victoria,561.0
Melanoma of the skin,1989.0,Females,Queensland,637.0
Melanoma of the skin,1989.0,Females,Western Australia,221.0
Melanoma of the skin,1989.0,Females,South Australia,199.0
Melanoma of the skin,1989.0,Females,Tasmania,62.0
Melanoma of the skin,1989.0,Females,Australian Capital Territory,38.0
Melanoma of the skin,1989.0,Females,Northern Territory,8.0
Melanoma of the skin,1989.0,Females,Australia,2615.0
Melanoma of the skin,1989.0,Persons,New South Wales,2107.0
Melanoma of the skin,1989.0,Persons,Victoria,1108.0
Melanoma of the skin,1989.0,Persons,Queensland,1380.0
Melanoma of the skin,1989.0,Persons,Western Australia,482.0
Melanoma of the skin,1989.0,Persons,South Australia,435.0
Melanoma of the skin,1989.0,Persons,Tasmania,115.0
Melanoma of the skin,1989.0,Persons,Australian Capital Territory,79.0
Melanoma of the skin,1989.0,Persons,Northern Territory,19.0
Melanoma of the skin,1989.0,Persons,Australia,5718.0
Melanoma of the skin,1990.0,Males,New South Wales,1168.0
Melanoma of the skin,1990.0,Males,Victoria,580.0
Melanoma of the skin,1990.0,Males,Queensland,763.0
Melanoma of the skin,1990.0,Males,Western Australia,295.0
Melanoma of the skin,1990.0,Males,South Australia,221.0
Melanoma of the skin,1990.0,Males,Tasmania,66.0
Melanoma of the skin,1990.0,Males,Australian Capital Territory,42.0
Melanoma of the skin,1990.0,Males,Northern Territory,13.0
Melanoma of the skin,1990.0,Males,Australia,3148.0
Melanoma of the skin,1990.0,Females,New South Wales,944.0
Melanoma of the skin,1990.0,Females,Victoria,521.0
Melanoma of the skin,1990.0,Females,Queensland,631.0
Melanoma of the skin,1990.0,Females,Western Australia,216.0
Melanoma of the skin,1990.0,Females,South Australia,246.0
Melanoma of the skin,1990.0,Females,Tasmania,86.0
Melanoma of the skin,1990.0,Females,Australian Capital Territory,38.0
Melanoma of the skin,1990.0,Females,Northern Territory,9.0
Melanoma of the skin,1990.0,Females,Australia,2687.0
Melanoma of the skin,1990.0,Persons,New South Wales,2112.0
Melanoma of the skin,1990.0,Persons,Victoria,1101.0
Melanoma of the skin,1990.0,Persons,Queensland,1394.0
Melanoma of the skin,1990.0,Persons,Western Australia,511.0
Melanoma of the skin,1990.0,Persons,South Australia,467.0
Melanoma of the skin,1990.0,Persons,Tasmania,152.0
Melanoma of the skin,1990.0,Persons,Australian Capital Territory,80.0
Melanoma of the skin,1990.0,Persons,Northern Territory,22.0
Melanoma of the skin,1990.0,Persons,Australia,5835.0
Melanoma of the skin,1991.0,Males,New South Wales,1151.0
Melanoma of the skin,1991.0,Males,Victoria,558.0
Melanoma of the skin,1991.0,Males,Queensland,775.0
Melanoma of the skin,1991.0,Males,Western Australia,335.0
Melanoma of the skin,1991.0,Males,South Australia,234.0
Melanoma of the skin,1991.0,Males,Tasmania,75.0
Melanoma of the skin,1991.0,Males,Australian Capital Territory,42.0
Melanoma of the skin,1991.0,Males,Northern Territory,15.0
Melanoma of the skin,1991.0,Males,Australia,3187.0
Melanoma of the skin,1991.0,Females,New South Wales,959.0
Melanoma of the skin,1991.0,Females,Victoria,571.0
Melanoma of the skin,1991.0,Females,Queensland,642.0
Melanoma of the skin,1991.0,Females,Western Australia,267.0
Melanoma of the skin,1991.0,Females,South Australia,225.0
Melanoma of the skin,1991.0,Females,Tasmania,68.0
Melanoma of the skin,1991.0,Females,Australian Capital Territory,38.0
Melanoma of the skin,1991.0,Females,Northern Territory,10.0
Melanoma of the skin,1991.0,Females,Australia,2779.0
Melanoma of the skin,1991.0,Persons,New South Wales,2110.0
Melanoma of the skin,1991.0,Persons,Victoria,1129.0
Melanoma of the skin,1991.0,Persons,Queensland,1417.0
Melanoma of the skin,1991.0,Persons,Western Australia,602.0
Melanoma of the skin,1991.0,Persons,South Australia,459.0
Melanoma of the skin,1991.0,Persons,Tasmania,143.0
Melanoma of the skin,1991.0,Persons,Australian Capital Territory,79.0
Melanoma of the skin,1991.0,Persons,Northern Territory,26.0
Melanoma of the skin,1991.0,Persons,Australia,5966.0
Melanoma of the skin,1992.0,Males,New South Wales,1200.0
Melanoma of the skin,1992.0,Males,Victoria,711.0
Melanoma of the skin,1992.0,Males,Queensland,888.0
Melanoma of the skin,1992.0,Males,Western Australia,355.0
Melanoma of the skin,1992.0,Males,South Australia,297.0
Melanoma of the skin,1992.0,Males,Tasmania,69.0
Melanoma of the skin,1992.0,Males,Australian Capital Territory,40.0
Melanoma of the skin,1992.0,Males,Northern Territory,19.0
Melanoma of the skin,1992.0,Males,Australia,3587.0
Melanoma of the skin,1992.0,Females,New South Wales,978.0
Melanoma of the skin,1992.0,Females,Victoria,666.0
Melanoma of the skin,1992.0,Females,Queensland,685.0
Melanoma of the skin,1992.0,Females,Western Australia,253.0
Melanoma of the skin,1992.0,Females,South Australia,286.0
Melanoma of the skin,1992.0,Females,Tasmania,58.0
Melanoma of the skin,1992.0,Females,Australian Capital Territory,36.0
Melanoma of the skin,1992.0,Females,Northern Territory,12.0
Melanoma of the skin,1992.0,Females,Australia,2976.0
Melanoma of the skin,1992.0,Persons,New South Wales,2178.0
Melanoma of the skin,1992.0,Persons,Victoria,1377.0
Melanoma of the skin,1992.0,Persons,Queensland,1573.0
Melanoma of the skin,1992.0,Persons,Western Australia,608.0
Melanoma of the skin,1992.0,Persons,South Australia,583.0
Melanoma of the skin,1992.0,Persons,Tasmania,127.0
Melanoma of the skin,1992.0,Persons,Australian Capital Territory,76.0
Melanoma of the skin,1992.0,Persons,Northern Territory,31.0
Melanoma of the skin,1992.0,Persons,Australia,6563.0
Melanoma of the skin,1993.0,Males,New South Wales,1429.0
Melanoma of the skin,1993.0,Males,Victoria,654.0
Melanoma of the skin,1993.0,Males,Queensland,862.0
Melanoma of the skin,1993.0,Males,Western Australia,382.0
Melanoma of the skin,1993.0,Males,South Australia,265.0
Melanoma of the skin,1993.0,Males,Tasmania,68.0
Melanoma of the skin,1993.0,Males,Australian Capital Territory,38.0
Melanoma of the skin,1993.0,Males,Northern Territory,19.0
Melanoma of the skin,1993.0,Males,Australia,3713.0
Melanoma of the skin,1993.0,Females,New South Wales,1052.0
Melanoma of the skin,1993.0,Females,Victoria,607.0
Melanoma of the skin,1993.0,Females,Queensland,665.0
Melanoma of the skin,1993.0,Females,Western Australia,331.0
Melanoma of the skin,1993.0,Females,South Australia,270.0
Melanoma of the skin,1993.0,Females,Tasmania,71.0
Melanoma of the skin,1993.0,Females,Australian Capital Territory,36.0
Melanoma of the skin,1993.0,Females,Northern Territory,12.0
Melanoma of the skin,1993.0,Females,Australia,3056.0
Melanoma of the skin,1993.0,Persons,New South Wales,2481.0
Melanoma of the skin,1993.0,Persons,Victoria,1261.0
Melanoma of the skin,1993.0,Persons,Queensland,1527.0
Melanoma of the skin,1993.0,Persons,Western Australia,713.0
Melanoma of the skin,1993.0,Persons,South Australia,535.0
Melanoma of the skin,1993.0,Persons,Tasmania,139.0
Melanoma of the skin,1993.0,Persons,Australian Capital Territory,74.0
Melanoma of the skin,1993.0,Persons,Northern Territory,31.0
Melanoma of the skin,1993.0,Persons,Australia,6769.0
Melanoma of the skin,1994.0,Males,New South Wales,1352.0
Melanoma of the skin,1994.0,Males,Victoria,683.0
Melanoma of the skin,1994.0,Males,Queensland,923.0
Melanoma of the skin,1994.0,Males,Western Australia,421.0
Melanoma of the skin,1994.0,Males,South Australia,309.0
Melanoma of the skin,1994.0,Males,Tasmania,80.0
Melanoma of the skin,1994.0,Males,Australian Capital Territory,39.0
Melanoma of the skin,1994.0,Males,Northern Territory,19.0
Melanoma of the skin,1994.0,Males,Australia,3826.0
Melanoma of the skin,1994.0,Females,New South Wales,1018.0
Melanoma of the skin,1994.0,Females,Victoria,632.0
Melanoma of the skin,1994.0,Females,Queensland,701.0
Melanoma of the skin,1994.0,Females,Western Australia,351.0
Melanoma of the skin,1994.0,Females,South Australia,303.0
Melanoma of the skin,1994.0,Females,Tasmania,72.0
Melanoma of the skin,1994.0,Females,Australian Capital Territory,35.0
Melanoma of the skin,1994.0,Females,Northern Territory,13.0
Melanoma of the skin,1994.0,Females,Australia,3117.0
Melanoma of the skin,1994.0,Persons,New South Wales,2370.0
Melanoma of the skin,1994.0,Persons,Victoria,1315.0
Melanoma of the skin,1994.0,Persons,Queensland,1624.0
Melanoma of the skin,1994.0,Persons,Western Australia,772.0
Melanoma of the skin,1994.0,Persons,South Australia,612.0
Melanoma of the skin,1994.0,Persons,Tasmania,152.0
Melanoma of the skin,1994.0,Persons,Australian Capital Territory,74.0
Melanoma of the skin,1994.0,Persons,Northern Territory,32.0
Melanoma of the skin,1994.0,Persons,Australia,6943.0
Melanoma of the skin,1995.0,Males,New South Wales,1422.0
Melanoma of the skin,1995.0,Males,Victoria,771.0
Melanoma of the skin,1995.0,Males,Queensland,1037.0
Melanoma of the skin,1995.0,Males,Western Australia,475.0
Melanoma of the skin,1995.0,Males,South Australia,288.0
Melanoma of the skin,1995.0,Males,Tasmania,92.0
Melanoma of the skin,1995.0,Males,Australian Capital Territory,43.0
Melanoma of the skin,1995.0,Males,Northern Territory,18.0
Melanoma of the skin,1995.0,Males,Australia,4154.0
Melanoma of the skin,1995.0,Females,New South Wales,963.0
Melanoma of the skin,1995.0,Females,Victoria,765.0
Melanoma of the skin,1995.0,Females,Queensland,783.0
Melanoma of the skin,1995.0,Females,Western Australia,357.0
Melanoma of the skin,1995.0,Females,South Australia,295.0
Melanoma of the skin,1995.0,Females,Tasmania,91.0
Melanoma of the skin,1995.0,Females,Australian Capital Territory,38.0
Melanoma of the skin,1995.0,Females,Northern Territory,14.0
Melanoma of the skin,1995.0,Females,Australia,3317.0
Melanoma of the skin,1995.0,Persons,New South Wales,2385.0
Melanoma of the skin,1995.0,Persons,Victoria,1536.0
Melanoma of the skin,1995.0,Persons,Queensland,1820.0
Melanoma of the skin,1995.0,Persons,Western Australia,832.0
Melanoma of the skin,1995.0,Persons,South Australia,583.0
Melanoma of the skin,1995.0,Persons,Tasmania,183.0
Melanoma of the skin,1995.0,Persons,Australian Capital Territory,81.0
Melanoma of the skin,1995.0,Persons,Northern Territory,32.0
Melanoma of the skin,1995.0,Persons,Australia,7471.0
Melanoma of the skin,1996.0,Males,New South Wales,1462.0
Melanoma of the skin,1996.0,Males,Victoria,866.0
Melanoma of the skin,1996.0,Males,Queensland,1114.0
Melanoma of the skin,1996.0,Males,Western Australia,426.0
Melanoma of the skin,1996.0,Males,South Australia,310.0
Melanoma of the skin,1996.0,Males,Tasmania,94.0
Melanoma of the skin,1996.0,Males,Australian Capital Territory,44.0
Melanoma of the skin,1996.0,Males,Northern Territory,20.0
Melanoma of the skin,1996.0,Males,Australia,4349.0
Melanoma of the skin,1996.0,Females,New South Wales,1069.0
Melanoma of the skin,1996.0,Females,Victoria,820.0
Melanoma of the skin,1996.0,Females,Queensland,864.0
Melanoma of the skin,1996.0,Females,Western Australia,309.0
Melanoma of the skin,1996.0,Females,South Australia,272.0
Melanoma of the skin,1996.0,Females,Tasmania,96.0
Melanoma of the skin,1996.0,Females,Australian Capital Territory,39.0
Melanoma of the skin,1996.0,Females,Northern Territory,15.0
Melanoma of the skin,1996.0,Females,Australia,3488.0
Melanoma of the skin,1996.0,Persons,New South Wales,2531.0
Melanoma of the skin,1996.0,Persons,Victoria,1686.0
Melanoma of the skin,1996.0,Persons,Queensland,1978.0
Melanoma of the skin,1996.0,Persons,Western Australia,735.0
Melanoma of the skin,1996.0,Persons,South Australia,582.0
Melanoma of the skin,1996.0,Persons,Tasmania,190.0
Melanoma of the skin,1996.0,Persons,Australian Capital Territory,84.0
Melanoma of the skin,1996.0,Persons,Northern Territory,35.0
Melanoma of the skin,1996.0,Persons,Australia,7837.0
Melanoma of the skin,1997.0,Males,New South Wales,1633.0
Melanoma of the skin,1997.0,Males,Victoria,897.0
Melanoma of the skin,1997.0,Males,Queensland,1239.0
Melanoma of the skin,1997.0,Males,Western Australia,395.0
Melanoma of the skin,1997.0,Males,South Australia,344.0
Melanoma of the skin,1997.0,Males,Tasmania,90.0
Melanoma of the skin,1997.0,Males,Australian Capital Territory,51.0
Melanoma of the skin,1997.0,Males,Northern Territory,19.0
Melanoma of the skin,1997.0,Males,Australia,4693.0
Melanoma of the skin,1997.0,Females,New South Wales,1161.0
Melanoma of the skin,1997.0,Females,Victoria,913.0
Melanoma of the skin,1997.0,Females,Queensland,891.0
Melanoma of the skin,1997.0,Females,Western Australia,294.0
Melanoma of the skin,1997.0,Females,South Australia,319.0
Melanoma of the skin,1997.0,Females,Tasmania,98.0
Melanoma of the skin,1997.0,Females,Australian Capital Territory,42.0
Melanoma of the skin,1997.0,Females,Northern Territory,17.0
Melanoma of the skin,1997.0,Females,Australia,3748.0
Melanoma of the skin,1997.0,Persons,New South Wales,2794.0
Melanoma of the skin,1997.0,Persons,Victoria,1810.0
Melanoma of the skin,1997.0,Persons,Queensland,2130.0
Melanoma of the skin,1997.0,Persons,Western Australia,689.0
Melanoma of the skin,1997.0,Persons,South Australia,663.0
Melanoma of the skin,1997.0,Persons,Tasmania,188.0
Melanoma of the skin,1997.0,Persons,Australian Capital Territory,93.0
Melanoma of the skin,1997.0,Persons,Northern Territory,36.0
Melanoma of the skin,1997.0,Persons,Australia,8441.0
Melanoma of the skin,1998.0,Males,New South Wales,1557.0
Melanoma of the skin,1998.0,Males,Victoria,791.0
Melanoma of the skin,1998.0,Males,Queensland,1234.0
Melanoma of the skin,1998.0,Males,Western Australia,425.0
Melanoma of the skin,1998.0,Males,South Australia,300.0
Melanoma of the skin,1998.0,Males,Tasmania,86.0
Melanoma of the skin,1998.0,Males,Australian Capital Territory,56.0
Melanoma of the skin,1998.0,Males,Northern Territory,22.0
Melanoma of the skin,1998.0,Males,Australia,4482.0
Melanoma of the skin,1998.0,Females,New South Wales,1121.0
Melanoma of the skin,1998.0,Females,Victoria,751.0
Melanoma of the skin,1998.0,Females,Queensland,905.0
Melanoma of the skin,1998.0,Females,Western Australia,326.0
Melanoma of the skin,1998.0,Females,South Australia,276.0
Melanoma of the skin,1998.0,Females,Tasmania,84.0
Melanoma of the skin,1998.0,Females,Australian Capital Territory,42.0
Melanoma of the skin,1998.0,Females,Northern Territory,15.0
Melanoma of the skin,1998.0,Females,Australia,3515.0
Melanoma of the skin,1998.0,Persons,New South Wales,2678.0
Melanoma of the skin,1998.0,Persons,Victoria,1542.0
Melanoma of the skin,1998.0,Persons,Queensland,2139.0
Melanoma of the skin,1998.0,Persons,Western Australia,751.0
Melanoma of the skin,1998.0,Persons,South Australia,576.0
Melanoma of the skin,1998.0,Persons,Tasmania,170.0
Melanoma of the skin,1998.0,Persons,Australian Capital Territory,97.0
Melanoma of the skin,1998.0,Persons,Northern Territory,37.0
Melanoma of the skin,1998.0,Persons,Australia,7997.0
Melanoma of the skin,1999.0,Males,New South Wales,1650.0
Melanoma of the skin,1999.0,Males,Victoria,884.0
Melanoma of the skin,1999.0,Males,Queensland,1151.0
Melanoma of the skin,1999.0,Males,Western Australia,549.0
Melanoma of the skin,1999.0,Males,South Australia,317.0
Melanoma of the skin,1999.0,Males,Tasmania,89.0
Melanoma of the skin,1999.0,Males,Australian Capital Territory,61.0
Melanoma of the skin,1999.0,Males,Northern Territory,24.0
Melanoma of the skin,1999.0,Males,Australia,4734.0
Melanoma of the skin,1999.0,Females,New South Wales,1129.0
Melanoma of the skin,1999.0,Females,Victoria,784.0
Melanoma of the skin,1999.0,Females,Queensland,899.0
Melanoma of the skin,1999.0,Females,Western Australia,394.0
Melanoma of the skin,1999.0,Females,South Australia,288.0
Melanoma of the skin,1999.0,Females,Tasmania,102.0
Melanoma of the skin,1999.0,Females,Australian Capital Territory,45.0
Melanoma of the skin,1999.0,Females,Northern Territory,16.0
Melanoma of the skin,1999.0,Females,Australia,3661.0
Melanoma of the skin,1999.0,Persons,New South Wales,2779.0
Melanoma of the skin,1999.0,Persons,Victoria,1668.0
Melanoma of the skin,1999.0,Persons,Queensland,2050.0
Melanoma of the skin,1999.0,Persons,Western Australia,943.0
Melanoma of the skin,1999.0,Persons,South Australia,605.0
Melanoma of the skin,1999.0,Persons,Tasmania,191.0
Melanoma of the skin,1999.0,Persons,Australian Capital Territory,107.0
Melanoma of the skin,1999.0,Persons,Northern Territory,40.0
Melanoma of the skin,1999.0,Persons,Australia,8395.0
Melanoma of the skin,2000.0,Males,New South Wales,1636.0
Melanoma of the skin,2000.0,Males,Victoria,893.0
Melanoma of the skin,2000.0,Males,Queensland,1304.0
Melanoma of the skin,2000.0,Males,Western Australia,527.0
Melanoma of the skin,2000.0,Males,South Australia,339.0
